Index	ROI	Amplicon	Location	Direction	Cov fwd (avg)	Cov rev (avg)	Cov. Info	Called bp	Required	Quality	Expected	QS fwd (avg)	QS rev (avg)	Aligned Reads	Pool-Ratio Aligned Reads	Aligned Tagged Reads	Mean RD	Multiplex No.	Comment
1	rs10530949	1	[23..48]	both	486	484		100% (26/26)	100% (26/26)		100% (26/26)	38	38	973			971		
2	rs10532209	1	[24..49]	both	875	875		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1750			1750		
3	rs10533313	1	[23..42]	both	980	983		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1965			1963		
4	rs10537580	1	[23..47]	both	1252	1252		100% (25/25)	100% (25/25)		100% (25/25)	38	38	2504			2504		
5	rs10558626	1	[23..46]	both	356	356		100% (24/24)	100% (24/24)		100% (24/24)	38	38	712			712		
6	rs10573809	1	[24..52]	both	732	735		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1470			1467		
7	rs10580274	1	[23..46]	both	980	983		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1964			1963		
8	rs10590825	1	[21..51]	both	584	584		100% (31/31)	100% (31/31)		100% (31/31)	38	37	1168			1168		
9	rs10635904_2	1	[21..42]	both	304	304		100% (22/22)	100% (22/22)		100% (22/22)	38	38	608			608		
10	rs10643768	1	[25..44]	both	1087	1085		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2173			2172		
11	rs10651088	1	[21..50]	both	976	979		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1957			1955		
12	rs10661998	1	[23..48]	both	845	846		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1692			1691		
13	rs10664883	1	[22..45]	both	572	571		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1144			1143		
14	rs10665698	1	[24..45]	both	1170	1169		100% (22/22)	100% (22/22)		100% (22/22)	38	38	2340			2339		
15	rs10668644	1	[21..51]	both	606	606		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1212			1212		
16	rs10690687	1	[21..30]	both	698	698		100% (10/10)	100% (10/10)		100% (10/10)	38	38	1396			1396		
17	rs10701414	1	[26..50]	both	538	541		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1081			1079		
18	rs111358816	1	[21..37]	both	748	749		100% (17/17)	100% (17/17)		100% (17/17)	38	38	1498			1497		
19	rs111576638	1	[22..41]	both	940	941		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1883			1881		
20	rs112198516	1	[21..48]	both	752	753		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1506			1505		
21	rs112261997	1	[21..38]	both	880	880		100% (18/18)	100% (18/18)		100% (18/18)	38	38	1760			1760		
22	rs112558520	1	[25..49]	both	820	820		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1643			1640		
23	rs112637350	1	[26..57]	both	678	677		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1356			1355		
24	rs112756113	1	[21..36]	both	683	682		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1366			1365		
25	rs11280910	1	[24..52]	both	751	751		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1502			1502		
26	rs112815220_1	1	[24..34]	both	420	421		100% (11/11)	100% (11/11)		100% (11/11)	38	38	842			841		
27	rs112818935	1	[22..48]	both	883	881		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1764			1764		
28	rs112871841	1	[22..47]	both	704	702		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1408			1406		
29	rs113743486	1	[21..50]	both	726	725		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1451			1451		
30	rs113928708	1	[25..38]	both	1005	1007		100% (14/14)	100% (14/14)		100% (14/14)	38	38	2013			2012		
31	rs137925637	1	[21..48]	both	801	801		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1604			1603		
32	rs137974198	1	[19..44]	both	488	488		100% (26/26)	100% (26/26)		100% (26/26)	38	38	976			976		
33	rs140014417	1	[22..51]	both	574	573		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1147			1147		
34	rs140248582_3	1	[22..53]	both	1123	1124		100% (32/32)	100% (32/32)		100% (32/32)	38	38	2248			2247		
35	rs140464457	1	[21..46]	both	530	531		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1062			1061		
36	rs140516848	1	[22..47]	both	762	760		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1522			1522		
37	rs140996979	1	[22..50]	both	804	804		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1608			1608		
38	rs142104717	1	[25..47]	both	762	761		100% (23/23)	100% (23/23)		100% (23/23)	38	38	1524			1523		
39	rs142197840	1	[23..42]	both	768	769		100% (20/20)	100% (20/20)		100% (20/20)	39	39	1538			1537		
40	rs142669819	1	[24..54]	both	942	946		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1892			1888		
41	rs143112700	1	[21..51]	both	291	291		100% (31/31)	100% (31/31)		100% (31/31)	38	38	582			582		
42	rs143385276	1	[25..41]	both	885	885		100% (17/17)	100% (17/17)		100% (17/17)	37	38	1772			1771		
43	rs143600464	1	[22..42]	both	424	424		100% (21/21)	100% (21/21)		100% (21/21)	38	38	848			848		
44	rs145139391	1	[22..50]	both	518	520		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1040			1038		
45	rs145388721	1	[23..46]	both	853	852		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1706			1705		
46	rs145675818	1	[25..51]	both	898	898		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1796			1796		
47	rs145984162	1	[26..37]	both	722	722		100% (12/12)	100% (12/12)		100% (12/12)	38	38	1444			1444		
48	rs146757417	1	[24..36]	both	1077	1077		100% (13/13)	100% (13/13)		100% (13/13)	38	38	2155			2154		
49	rs147117332	1	[25..51]	both	905	903		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1809			1808		
50	rs147307837	1	[25..39]	both	852	852		100% (15/15)	100% (15/15)		100% (15/15)	38	38	1704			1704		
51	rs148301364	1	[19..54]	both	241	241		100% (36/36)	100% (36/36)		100% (36/36)	38	38	482			482		
52	rs148738451	1	[21..36]	both	734	735		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1470			1469		
53	rs150042219	1	[23..55]	both	463	463		100% (33/33)	100% (33/33)		100% (33/33)	38	38	926			926		
54	rs150517961	1	[20..49]	both	530	532		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1063			1062		
55	rs199666017	1	[21..44]	both	813	813		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1627			1626		
56	rs200580944	1	[26..49]	both	795	793		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1589			1588		
57	rs2307510	1	[25..51]	both	644	650		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1299			1294		
58	rs33929686	1	[21..49]	both	835	836		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1673			1671		
59	rs33971783_1	1	[21..47]	both	1066	1066		100% (27/27)	100% (27/27)		100% (27/27)	38	38	2132			2132		
60	rs33984666	1	[23..38]	both	809	809		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1619			1618		
61	rs34019706	1	[26..51]	both	684	686		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1370			1370		
62	rs34348160	1	[22..39]	both	879	878		100% (18/18)	100% (18/18)		100% (18/18)	38	38	1758			1757		
63	rs34362824	1	[22..50]	both	413	412		100% (29/29)	100% (29/29)		100% (29/29)	38	38	826			825		
64	rs34403392	1	[25..55]	both	393	393		100% (31/31)	100% (31/31)		100% (31/31)	39	38	788			786		
65	rs34447375	1	[21..48]	both	536	536		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1072			1072		
66	rs34633265	1	[23..48]	both	1361	1360		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2724			2721		
67	rs34871161	1	[21..50]	both	348	348		100% (30/30)	100% (30/30)		100% (30/30)	38	38	696			696		
68	rs34963989	1	[21..43]	both	1263	1263		100% (23/23)	100% (23/23)		100% (23/23)	38	38	2526			2526		
