Index	ROI	Amplicon	Location	Direction	Cov fwd (avg)	Cov rev (avg)	Cov. Info	Called bp	Required	Quality	Expected	QS fwd (avg)	QS rev (avg)	Aligned Reads	Pool-Ratio Aligned Reads	Aligned Tagged Reads	Mean RD	Multiplex No.	Comment
1	rs10530949	1	[23..48]	both	519	518		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1039			1037		
2	rs10532209	1	[24..49]	both	888	888		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1776			1776		
3	rs10533313	1	[23..42]	both	1108	1109		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2219			2218		
4	rs10537580	1	[23..47]	both	946	946		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1892			1892		
5	rs10558626	1	[23..46]	both	598	600		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1199			1198		
6	rs10573809	1	[24..52]	both	790	791		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1583			1581		
7	rs10580274	1	[23..46]	both	1129	1128		100% (24/24)	100% (24/24)		100% (24/24)	38	38	2258			2257		
8	rs10590825	1	[21..51]	both	512	512		100% (31/31)	100% (31/31)		100% (31/31)	38	37	1024			1024		
9	rs10635904_2	1	[21..42]	both	311	312		100% (22/22)	100% (22/22)		100% (22/22)	38	38	623			623		
10	rs10643768	1	[25..44]	both	1148	1147		100% (20/20)	100% (20/20)		100% (20/20)	38	38	2297			2295		
11	rs10651088	1	[21..50]	both	996	998		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1998			1995		
12	rs10661998	1	[23..48]	both	1055	1054		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2110			2109		
13	rs10664883	1	[22..45]	both	627	628		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1255			1255		
14	rs10665698	1	[24..45]	both	1651	1647		100% (22/22)	100% (22/22)		100% (22/22)	38	38	3300			3298		
15	rs10668644	1	[21..51]	both	666	665		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1332			1331		
16	rs10690687	1	[21..30]	both	752	752		100% (10/10)	100% (10/10)		100% (10/10)	38	38	1504			1504		
17	rs10701414	1	[26..50]	both	836	840		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1679			1676		
18	rs111358816	1	[21..37]	both	894	894		100% (17/17)	100% (17/17)		100% (17/17)	38	38	1788			1788		
19	rs111576638	1	[22..41]	both	859	860		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1720			1719		
20	rs112198516	1	[21..48]	both	140	141		100% (28/28)	100% (28/28)		100% (28/28)	38	38	282			281		
21	rs112261997	1	[21..38]	both	1233	1234		100% (18/18)	100% (18/18)		100% (18/18)	38	38	2468			2467		
22	rs112558520	1	[25..49]	both	823	827		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1653			1650		
23	rs112637350	1	[26..57]	both	743	742		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1485			1485		
24	rs112756113	1	[21..36]	both	609	608		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1218			1217		
25	rs11280910	1	[24..52]	both	712	712		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1426			1424		
26	rs112815220_1	1	[24..34]	both	327	327		100% (11/11)	100% (11/11)		100% (11/11)	38	38	654			654		
27	rs112818935	1	[22..48]	both	812	812		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1624			1624		
28	rs112871841	1	[22..47]	both	754	753		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1508			1507		
29	rs113743486	1	[21..50]	both	825	825		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1650			1650		
30	rs113928708	1	[25..38]	both	945	945		100% (14/14)	100% (14/14)		100% (14/14)	38	38	1891			1890		
31	rs137925637	1	[21..48]	both	714	715		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1429			1429		
32	rs137974198	1	[19..44]	both	562	562		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1124			1124		
33	rs140014417	1	[22..51]	both	697	697		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1395			1394		
34	rs140248582_3	1	[22..53]	both	939	941		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1882			1880		
35	rs140464457	1	[21..46]	both	590	590		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1181			1180		
36	rs140516848	1	[22..47]	both	734	734		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1470			1468		
37	rs140996979	1	[22..50]	both	957	956		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1914			1913		
38	rs142104717	1	[25..47]	both	1202	1202		100% (23/23)	100% (23/23)		100% (23/23)	38	38	2405			2404		
39	rs142197840	1	[23..42]	both	871	873		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1745			1744		
40	rs142669819	1	[24..54]	both	859	861		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1723			1720		
41	rs143112700	1	[21..51]	both	226	226		100% (31/31)	100% (31/31)		100% (31/31)	38	38	452			452		
42	rs143385276	1	[25..41]	both	1022	1022		100% (17/17)	100% (17/17)		100% (17/17)	38	38	2044			2044		
43	rs143600464	1	[22..42]	both	1125	1125		100% (21/21)	100% (21/21)		100% (21/21)	38	38	2250			2250		
44	rs145139391	1	[22..50]	both	576	575		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1151			1151		
45	rs145388721	1	[23..46]	both	807	806		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1614			1613		
46	rs145675818	1	[25..51]	both	978	976		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1956			1954		
47	rs145984162	1	[26..37]	both	1059	1058		100% (12/12)	100% (12/12)		100% (12/12)	38	38	2118			2117		
48	rs146757417	1	[24..36]	both	965	965		100% (13/13)	100% (13/13)		100% (13/13)	38	38	1930			1930		
49	rs147117332	1	[25..51]	both	878	880		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1762			1758		
50	rs147307837	1	[25..39]	both	644	644		100% (15/15)	100% (15/15)		100% (15/15)	38	38	1288			1288		
51	rs148301364	1	[19..54]	both	224	225		100% (36/36)	100% (36/36)		100% (36/36)	38	38	449			449		
52	rs148738451	1	[21..36]	both	709	710		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1420			1419		
53	rs150042219	1	[23..55]	both	442	443		100% (33/33)	100% (33/33)		100% (33/33)	38	38	885			885		
54	rs150517961	1	[20..49]	both	407	407		100% (30/30)	100% (30/30)		100% (30/30)	38	38	814			814		
55	rs199666017	1	[21..44]	both	853	853		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1706			1706		
56	rs200580944	1	[26..49]	both	931	929		100% (24/24)	100% (24/24)		100% (24/24)	38	38	1861			1860		
57	rs2307510	1	[25..51]	both	665	672		100% (27/27)	100% (27/27)		100% (27/27)	38	38	1342			1337		
58	rs33929686	1	[21..49]	both	1033	1031		100% (29/29)	100% (29/29)		100% (29/29)	38	38	2067			2064		
59	rs33971783_1	1	[21..47]	both	1126	1126		100% (27/27)	100% (27/27)		100% (27/27)	38	38	2252			2252		
60	rs33984666	1	[23..38]	both	723	724		100% (16/16)	100% (16/16)		100% (16/16)	38	38	1448			1447		
61	rs34019706	1	[26..51]	both	797	798		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1595			1595		
62	rs34348160	1	[22..39]	both	793	793		100% (18/18)	100% (18/18)		100% (18/18)	38	38	1588			1586		
63	rs34362824	1	[22..50]	both	302	302		100% (29/29)	100% (29/29)		100% (29/29)	38	38	604			604		
64	rs34403392	1	[25..55]	both	306	306		100% (31/31)	100% (31/31)		100% (31/31)	38	38	614			612		
65	rs34447375	1	[21..48]	both	611	611		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1222			1222		
66	rs34633265	1	[23..48]	both	1132	1130		100% (26/26)	100% (26/26)		100% (26/26)	38	38	2265			2262		
67	rs34871161	1	[21..50]	both	284	285		100% (30/30)	100% (30/30)		100% (30/30)	38	38	570			569		
68	rs34963989	1	[21..43]	both	1359	1362		100% (23/23)	100% (23/23)		100% (23/23)	38	38	2721			2721		
69	rs35136242	1	[23..48]	both	563	562		100% (26/26)	100% (26/26)		100% (26/26)	38	38	1126			1125		
70	rs35517521	1	[21..48]	both	895	891		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1791			1786		
71	rs35560760	1	[21..43]	both	384	383		100% (23/23)	100% (23/23)		100% (23/23)	38	38	768			767		
72	rs35894782	1	[25..55]	both	654	654		100% (31/31)	100% (31/31)		100% (31/31)	38	38	1310			1308		
73	rs35908859	1	[22..46]	both	1768	1766		100% (25/25)	100% (25/25)		100% (25/25)	38	38	3538			3534		
74	rs35953083	1	[21..52]	both	749	748		100% (32/32)	100% (32/32)		100% (32/32)	38	38	1498			1497		
75	rs35994305	1	[21..45]	both	743	745		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1490			1488		
76	rs36075704	1	[24..53]	both	790	794		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1588			1584		
77	rs3830531	1	[22..50]	both	959	958		100% (29/29)	100% (29/29)		100% (29/29)	38	38	1920			1918		
78	rs3830564	1	[22..46]	both	650	646		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1300			1296		
79	rs3832327	1	[24..51]	both	695	696		100% (28/28)	100% (28/28)		100% (28/28)	38	38	1393			1391		
80	rs3835081	1	[24..52]	both	330	329		100% (29/29)	100% (29/29)		100% (29/29)	39	38	660			659		
81	rs3837653	1	[23..55]	both	395	395		100% (33/33)	100% (33/33)		100% (33/33)	38	38	794			791		
82	rs3996344	1	[21..50]	both	997	997		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1994			1994		
83	rs4011697	1	[21..40]	both	531	531		100% (20/20)	100% (20/20)		100% (20/20)	38	38	1062			1062		
84	rs551530547	1	[23..58]	both	1639	1639		100% (36/36)	100% (36/36)		100% (36/36)	38	38	3279			3278		
85	rs558919360	1	[24..48]	both	558	557		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1115			1115		
86	rs56332888	1	[22..51]	both	1980	1979		100% (30/30)	100% (30/30)		100% (30/30)	38	38	3960			3959		
87	rs566321149	1	[21..49]	both	418	418		100% (29/29)	100% (29/29)		100% (29/29)	38	38	836			836		
88	rs5792852	1	[23..47]	both	544	544		100% (25/25)	100% (25/25)		100% (25/25)	38	38	1088			1088		
89	rs5818539	1	[21..50]	both	762	763		100% (30/30)	100% (30/30)		100% (30/30)	38	38	1525			1525		
90	rs5822997	1	[22..53]	both	422	421		100% (32/32)	100% (32/32)		100% (32/32)	38	38	844			843		
91	rs5831737	1	[24..46]	both	1131	1132		100% (23/23)	100% (23/23)		100% (23/23)	38	38	2264			2263		
